method,topology,regime,duplication,schedule,seed,rmse,rmse_vs_oracle,nll,coverage95,prec_trace_ratio,prec_rel_error,confidence,confidence_oracle,consensus_spread
bp_trw,tree,clean,1,lossy,0,0.3618965759397652,6.853422142751216e-16,1.0379245844971807,1.0,1.0,5.270992349727644e-16,3.67364243242576,3.6736424324257597,1.7763568394002505e-15
ec_exact,tree,clean,1,delayed,0,0.361896575939766,6.283844940071846e-16,1.0379245844971847,1.0,0.9999999999999998,6.511387391070664e-16,3.6736424324257593,3.6736424324257597,3.1086244689504383e-15
naive_sum,tree,clean,1,delayed,0,0.5427819594107908,0.6189336615124089,172257.41398899956,0.0,62661.46338755461,67013.68428718201,24.755989128483698,3.6736424324257597,5.097106109283125
mean_pool,tree,clean,1,delayed,0,1.1300973666090621,0.7844695313920651,5.888303110124305,0.75,0.21573153544537313,0.8053156799562333,0.723223823747915,3.6736424324257597,0.030533582371450763
cov_int,tree,clean,1,delayed,0,1.0345940237379128,0.6842279217400058,5.509188558715101,1.0,0.2279666485295896,0.7986274103666651,0.8451763238611703,3.6736424324257597,0.0011459171615391117
inv_cov_int,tree,clean,1,delayed,0,0.976937814341851,0.6491301453596258,5.029972857120016,0.9375,0.29425708402604933,0.7325541978671531,1.1953176760375408,3.6736424324257597,0.3600900379045897
bp_backtrack,tree,clean,1,delayed,0,0.43530402702615456,0.41980303335729563,94323.55910362111,0.0,56068.319015905305,59519.698495599725,24.669855483624744,3.6736424324257597,6.433387820400984
bp_cavity,tree,clean,1,delayed,0,0.3618965759397656,6.182812346380273e-16,1.0379245844971834,1.0,1.0,5.74135323863824e-16,3.67364243242576,3.6736424324257597,2.220446049250313e-15
bp_trw,tree,clean,1,delayed,0,0.3618965759397656,6.182812346380273e-16,1.0379245844971834,1.0,1.0,5.74135323863824e-16,3.67364243242576,3.6736424324257597,2.220446049250313e-15
ec_exact,tree,clean,1,repeating,0,0.3618965759397659,5.431808238144487e-16,1.0379245844971845,1.0,1.0,5.001911257665266e-16,3.67364243242576,3.6736424324257597,8.881784197001252e-16
naive_sum,tree,clean,1,repeating,0,0.8452707606998286,0.6341485978697436,122088421.58805348,0.0,24708017.69501018,27951110.18028428,36.87161188341564,3.6736424324257597,4.034651051677159
mean_pool,tree,clean,1,repeating,0,1.2059888236028815,0.8606090973347299,6.312097594652101,0.75,0.21007273328419662,0.8102055077843975,0.6606610954353186,3.6736424324257597,0.019687025744511644
cov_int,tree,clean,1,repeating,0,1.0131495438095954,0.6596699871270997,5.480279723393043,1.0,0.22435799868127096,0.8028956068466387,0.8176360560690976,3.6736424324257597,5.317185589159834e-06
inv_cov_int,tree,clean,1,repeating,0,1.047849292038639,0.7140823436750166,5.362139907494467,0.875,0.2928258793680061,0.7293091984987229,1.1676541467752966,3.6736424324257597,0.44595183219721346
bp_backtrack,tree,clean,1,repeating,0,0.43530402702615456,0.41980303335729563,94323.55910362111,0.0,56068.319015905305,59519.698495599725,24.669855483624744,3.6736424324257597,6.433387820400984
bp_cavity,tree,clean,1,repeating,0,0.3618965759397656,6.182812346380273e-16,1.0379245844971834,1.0,1.0,5.74135323863824e-16,3.67364243242576,3.6736424324257597,2.220446049250313e-15
