seed,method,conf_two_distinct,conf_hundred_copies,mass_two_distinct,mass_hundred_copies,two_wins,two_wins_mass
0,ec_exact,1.716360599840949,0.9747414088185254,11.465708160486816,7.103250694567865,1,1
0,naive_sum,94.08670322169007,99.90898079412344,2.1728070454226117e+21,9.031648207944425e+22,0,0
0,mean_pool,1.114247886507469,0.9747414088185257,7.732854080243404,7.1032506945678655,1,1
0,cov_int,1.0983273832657416,0.9747414088185251,7.632117538535316,7.103250694567864,1,1
0,inv_cov_int,1.3936400388412502,0.9747413510851146,8.992327640153002,7.103250796490661,1,1
0,bp_backtrack,83.1534688047241,89.40752879358294,1.1476500647125418e+19,4.770405946604569e+20,0,0
0,bp_cavity,65.71135141420311,71.81126072323467,1729263493182252.5,7.187982735128437e+16,0,0
0,bp_trw,19.151027373981716,25.000942238389726,117806.31900840008,4896661.094357753,0,0
1,ec_exact,2.3232358530497508,1.5261445309065822,15.021169110861265,10.829154843608748,1,1
1,naive_sum,95.53798233676261,100.97403690450525,3.207582372374971e+21,1.9875456473117064e+23,0,0
1,mean_pool,1.5410189176832374,1.5261445309065813,9.510584555430633,10.829154843608743,1,0
1,cov_int,1.5516633652127376,1.526144530906581,9.61535481177511,10.829154843608741,1,0
1,inv_cov_int,1.1736585967937323,1.5261447142370947,8.265928473913652,10.829157603150641,0,0
1,bp_backtrack,84.60474791979664,90.48708959016753,1.694205716509425e+19,1.0497972636648705e+21,0,0
1,bp_cavity,67.16263052927562,72.8863671694699,2552806108397033.5,1.5818202247502915e+17,0,0
1,bp_trw,20.602077866066374,26.067068735677438,173908.37069516358,10775810.663625337,0,0
2,ec_exact,2.049212650533806,1.2054699005712357,12.523877540823971,8.25973051925153,1,1
2,naive_sum,95.13188746357254,100.37296770950103,2.4807748678210106e+21,1.2397447482367066e+23,0,0
2,mean_pool,1.3239656561521007,1.2054699005712366,8.261938770411984,8.259730519251534,1,1
2,cov_int,1.3252701627081946,1.2054699005712362,8.26179586719206,8.259730519251528,1,1
2,inv_cov_int,1.4892264288232708,1.2054699170906344,9.482016282618925,8.259731086924432,1,1
2,bp_backtrack,84.31073288660897,89.88082291161606,1.3103148959268379e+19,6.548179892633569e+20,0,0
2,bp_cavity,66.82591882604856,72.28169147887168,1974364646305953.2,9.866708314051766e+16,0,0
2,bp_trw,20.20251348119954,25.46562533235013,134503.30263376486,6721484.70526729,0,0
3,ec_exact,1.583274085728692,0.8624392655574437,9.436479946427125,6.637733045136253,1,1
3,naive_sum,94.16478548446463,99.73890588743939,1.58222390642248e+21,7.676813533576948e+22,0,0
3,mean_pool,0.9773271711806841,0.8624392655574444,6.718239973213565,6.637733045136253,1,1
3,cov_int,0.9762995344571395,0.8624392655574452,6.735481659019035,6.6377330451362555,1,1
3,inv_cov_int,1.0623541576707514,0.8624391781193169,7.167306748703703,6.637732958212694,1,1
3,bp_backtrack,83.440226005987,89.24965191480982,8.357112852799625e+18,4.054798868199589e+20,0,0
3,bp_cavity,65.92161660208644,71.64963487103711,1259238387127209.8,6.109715731798907e+16,0,0
3,bp_trw,19.24193048840018,24.83171901695973,85786.87969001179,4162115.1214435473,0,0
4,ec_exact,1.868574631427585,1.168073605940259,11.329658536915359,7.986757037805035,1,1
4,naive_sum,94.80814083915274,102.31215519126133,2.1332113936413554e+21,1.1602990090046767e+23,0,0
4,mean_pool,1.1886609987341363,1.1680736059402599,7.664829268457678,7.986757037805037,1,0
4,cov_int,1.1951230347703947,1.1680736059402599,7.717291303401898,7.986757037805035,1,0
4,inv_cov_int,1.2528944628229057,1.168073605102267,8.267678917243252,7.986757513931539,1,1
4,bp_backtrack,83.87490642218673,91.82463171097191,1.1267361264846504e+19,6.128557230037491e+20,0,0
4,bp_cavity,66.43278903166572,74.22408537620467,1697750655786805.0,9.234426598874864e+16,0,0
4,bp_trw,19.87227815926918,27.40502600684144,115659.57541590864,6290756.521805907,0,0
5,ec_exact,2.4910341130368945,1.4127841976512816,15.327598220998514,9.121391914271202,1,1
5,naive_sum,95.8493583305093,101.10569420475008,3.2967649810593916e+21,1.4905212197543572e+23,0,0
5,mean_pool,1.6528462407020168,1.41278419765128,9.663799110499259,9.121391914271195,1,1
5,cov_int,1.6542439776061912,1.4127841976512785,9.672552353768108,9.121391914271186,1,1
5,inv_cov_int,1.652290618556814,1.4127842703817408,10.301873092754413,9.121392830123114,1,1
5,bp_backtrack,85.1085940519066,90.61644023212051,1.7413108779380603e+19,7.872750495310515e+20,0,0
5,bp_cavity,67.596292758979,73.01642318834783,2623783524339060.0,1.186255326520887e+17,0,0
5,bp_trw,20.925417550605705,26.198533300140795,178743.55297256645,8081110.722669923,0,0
6,ec_exact,1.6350478577259646,1.0162411230267145,10.367928144528413,7.31293032415373,1,1
6,naive_sum,94.19956649921518,101.44793035130158,1.8533110107901812e+21,9.64189624691421e+22,0,0
6,mean_pool,1.0385657706570375,1.0162411230267159,7.183964072264214,7.312930324153735,1,0
6,cov_int,1.0380822570394663,1.016241123026714,7.1826714619489564,7.312930324153731,1,0
6,inv_cov_int,1.0162442216183343,1.0162410794356465,7.312940700138968,7.312930503451792,1,1
6,bp_backtrack,83.53443084369007,90.96098303696394,9.788961730157332e+18,5.0927314853079613e+20,0,0
6,bp_cavity,65.99531467569886,73.36026061626629,1474987426621130.5,7.673658468645426e+16,0,0
6,bp_trw,19.28069481037484,26.540852165543473,100484.31433569893,5227517.137522809,0,0
7,ec_exact,1.930577775455311,0.8495872520159784,11.40261716863125,6.579721037523707,1,1
7,naive_sum,95.01327560300888,101.01013472779685,2.1544451501194991e+21,7.507976370175925e+22,0,0
7,mean_pool,1.2229692305695041,0.8495872520159797,7.701308584315624,6.579721037523711,1,1
7,cov_int,1.2467734882645178,0.8495872520159793,7.864234135342874,6.579721037523708,1,1
7,inv_cov_int,0.8510805182694303,0.8495871620215854,6.583226154873888,6.579720960452354,1,1
7,bp_backtrack,84.24108706928524,90.52304340309018,1.1379515365449079e+19,3.965621146730363e+20,0,0
7,bp_cavity,66.7392073502763,72.9223649877612,1714649882976872.2,5.9753439551715624e+16,0,0
7,bp_trw,20.08715389778787,26.103046544483426,116810.798558182,4070577.267563049,0,0
8,ec_exact,1.5574387291190062,0.9246816506392743,9.207791245375924,6.652741093677033,1,1
8,naive_sum,94.37097961221795,101.00002010290096,1.5156667345948298e+21,7.720492703598665e+22,0,0
8,mean_pool,0.9506134339945833,0.9246816506392747,6.603895622687963,6.652741093677034,1,0
8,cov_int,0.9627573911046274,0.9246816506392753,6.621346522446725,6.652741093677035,1,0
8,inv_cov_int,1.1094633079941962,0.9246815646657625,7.522728508833326,6.652740934530051,1,1
8,bp_backtrack,83.43774519525195,90.511775948029,8.005566024396237e+18,4.077869670739381e+20,0,0
8,bp_cavity,65.99562780473096,72.9114499626225,1206267789625936.5,6.144478502975563e+16,0,0
8,bp_trw,19.435123095333843,26.09285381625943,82178.37280282399,4185796.5041588703,0,0
9,ec_exact,1.5203422907041033,0.7643346951981848,9.363231136732683,6.237680779649932,1,1
9,naive_sum,93.85524511544428,100.22541905766485,1.560905697037433e+21,6.512508202722326e+22,0,0
9,mean_pool,0.9433500514791995,0.7643346951981849,6.681615568366345,6.23768077964993,1,1
9,cov_int,0.9859658120323639,0.764334695198185,6.906615574313289,6.237680779649931,1,1
