seed,method,multiplier,arm,rmse,rmse_vs_oracle,nll,coverage95,prec_trace_ratio,prec_rel_error,confidence,confidence_oracle,consensus_spread
0,ec_exact,1,duplicate,0.19817145247291484,3.381573738875492e-16,-0.17078914484442817,1.0,0.9999999999999996,6.582839709904639e-16,4.227922209933967,4.2279222099339675,1.7763568394002505e-15
0,ec_exact,1,replacement,0.19817145247291484,3.381573738875492e-16,-0.17078914484442817,1.0,0.9999999999999996,6.582839709904639e-16,4.227922209933967,4.2279222099339675,1.7763568394002505e-15
0,naive_sum,1,duplicate,0.1661862704546463,0.07514328529278697,7.712460454343285e+19,0.0,2.5836230076308675e+20,2.6257303725298254e+20,98.18505290221995,4.2279222099339675,6.897031141761545e-07
0,naive_sum,1,replacement,0.1661862704546463,0.07514328529278697,7.712460454343285e+19,0.0,2.5836230076308675e+20,2.6257303725298254e+20,98.18505290221995,4.2279222099339675,6.897031141761545e-07
0,mean_pool,1,duplicate,0.42451524052254597,0.31116365964528325,3.243064301448008,1.0,0.18625106964903293,0.8270112457294894,0.9848443684793619,4.2279222099339675,2.1985179543548838e-07
0,mean_pool,1,replacement,0.42451524052254597,0.31116365964528325,3.243064301448008,1.0,0.18625106964903293,0.8270112457294894,0.9848443684793619,4.2279222099339675,2.1985179543548838e-07
0,cov_int,1,duplicate,0.38925171223917965,0.2556108474073766,2.8122820791199317,1.0,0.2438299447000501,0.7569542640251836,1.3980160133260542,4.2279222099339675,2.886579864025407e-15
0,cov_int,1,replacement,0.38925171223917965,0.2556108474073766,2.8122820791199317,1.0,0.2438299447000501,0.7569542640251836,1.3980160133260542,4.2279222099339675,2.886579864025407e-15
0,inv_cov_int,1,duplicate,0.3195407784625599,0.19648799129491606,2.2910775976484357,1.0,0.30319409797166347,0.7166437896213709,1.725845706379489,4.2279222099339675,2.7200464103316335e-13
0,inv_cov_int,1,replacement,0.3195407784625599,0.19648799129491606,2.2910775976484357,1.0,0.30319409797166347,0.7166437896213709,1.725845706379489,4.2279222099339675,2.7200464103316335e-13
0,bp_backtrack,1,duplicate,0.24578698705301252,0.1458992669310904,8.921754422248746e+17,0.0,1.3646380234944714e+18,1.4333354295187026e+18,87.59531237798149,4.2279222099339675,0.561365039256259
0,bp_backtrack,1,replacement,0.24578698705301252,0.1458992669310904,8.921754422248746e+17,0.0,1.3646380234944714e+18,1.4333354295187026e+18,87.59531237798149,4.2279222099339675,0.561365039256259
0,bp_cavity,1,duplicate,0.21941367363750008,0.12276054840664997,110021127573025.58,0.0,205621799535945.4,213775859588932.22,70.02833616050349,4.2279222099339675,0.4549192205840882
0,bp_cavity,1,replacement,0.21941367363750008,0.12276054840664997,110021127573025.58,0.0,205621799535945.4,213775859588932.22,70.02833616050349,4.2279222099339675,0.4549192205840882
0,bp_trw,1,duplicate,0.1718900303774039,0.07945015580861049,4514.309860289071,0.125,14007.650696762998,14271.283917157858,23.270571504798852,4.2279222099339675,0.14614033890599387
0,bp_trw,1,replacement,0.1718900303774039,0.07945015580861049,4514.309860289071,0.125,14007.650696762998,14271.283917157858,23.270571504798852,4.2279222099339675,0.14614033890599387
0,ec_exact,2,duplicate,0.1981714524729148,3.9664107333323096e-16,-0.17078914484442817,1.0,0.9999999999999996,7.539873126718788e-16,4.227922209933967,4.2279222099339675,2.6645352591003757e-15
0,ec_exact,2,replacement,0.2097581319262971,2.9935870421322325e-16,-0.4539398906352685,1.0,1.0,8.882937596197825e-16,5.4539072354618,5.4539072354618,3.552713678800501e-15
0,naive_sum,2,duplicate,0.1661862704546324,0.07514328529277989,1.542492090868451e+20,0.0,5.167246015261734e+20,5.251460745059631e+20,99.57134726333985,4.2279222099339675,3.400284924737207e-07
0,naive_sum,2,replacement,0.2142763917566769,0.04474360108999559,3.6952711595004015e+20,0.0,2.72327485366187e+20,2.7295038892530237e+20,99.55580770229072,5.4539072354618,6.162354395655711e-07
0,mean_pool,2,duplicate,0.4245152405225474,0.31116365964528503,3.243064301448012,1.0,0.18625106964903262,0.8270112457294898,0.9848443684793613,4.2279222099339675,1.5296558686372919e-07
0,mean_pool,2,replacement,0.4407134957518961,0.3812528304326751,3.3581201022526193,1.0,0.10327780668856915,0.8987732952962331,0.9425692058381362,5.4539072354618,7.074186625377621e-08
0,cov_int,2,duplicate,0.4849749966744665,0.3796694196868697,3.178112113440574,1.0,0.22622792367798916,0.7898621494832413,1.3546295505432369,4.2279222099339675,2.886579864025407e-15
0,cov_int,2,replacement,0.5207062774012654,0.494667480732352,3.3671911231909886,1.0,0.12171384891802815,0.8780493342057922,1.2267956837297267,5.4539072354618,1.5543122344752192e-15
0,inv_cov_int,2,duplicate,0.4794160689577216,0.31795198454090295,2.804395033482953,1.0,0.287550748979232,0.7359089026220687,1.7041970826687207,4.2279222099339675,3.17395798532516e-09
0,inv_cov_int,2,replacement,0.4159228268452379,0.3718616630453507,2.895398164908315,1.0,0.13914384290540088,0.8676484792479529,1.4144319735401882,5.4539072354618,1.2276846206304981e-11
0,bp_backtrack,2,duplicate,0.16471919175113117,0.08582478716143314,9.118184984722324e+17,0.0,2.7292760469889434e+18,2.815480562200812e+18,89.00720966945926,4.2279222099339675,0.8018264952645353
0,bp_backtrack,2,replacement,0.2307339533066275,0.10510999296224643,2.2821724365693773e+18,0.0,1.4384004178462147e+18,1.4523922940930289e+18,88.8572548621411,5.4539072354618,1.7871104285542003
0,bp_cavity,2,duplicate,0.16527412217002593,0.08217674648372844,132829047652543.5,0.0,411243599071890.75,422282040368067.75,71.43130875503645,4.2279222099339675,0.6580133594616342
0,bp_cavity,2,replacement,0.22287848083118966,0.08656512472815835,326659688202584.1,0.0,216736216695337.06,218286937767847.06,71.32764480980433,5.4539072354618,1.4492771073984585
0,bp_trw,2,duplicate,0.16610609012422833,0.07586606862798409,8418.828643202003,0.0,28015.189119631836,28503.967600399923,24.658555096863406,4.2279222099339675,0.21586616120675828
0,bp_trw,2,replacement,0.21477333650939562,0.049695163569905415,20241.073366396216,0.0,14764.748237982087,14804.844831507908,24.633935207704422,5.4539072354618,0.46633541192350236
0,ec_exact,4,duplicate,0.19817145247291484,4.3195876791436117e-16,-0.17078914484442817,1.0,0.9999999999999994,7.369737797060136e-16,4.227922209933967,4.2279222099339675,3.552713678800501e-15
0,ec_exact,4,replacement,0.12935800893756066,4.509425825010593e-16,-1.9543287659903459,1.0,0.9999999999999998,7.69563624421775e-16,6.6348192909487675,6.6348192909487675,4.440892098500626e-15
0,naive_sum,4,duplicate,0.16618627045462642,0.07514328529277209,3.084984181736587e+20,0.0,1.0334492030523466e+21,1.0502921490119241e+21,100.95764162445974,4.2279222099339675,3.9116930850013887e-07
0,naive_sum,4,replacement,0.1281837142705491,0.02560186315388914,2.7915864462250302e+20,0.0,2.8055371461074207e+20,2.806855463752041e+20,100.80048292126567,6.6348192909487675,3.807604400662967e-07
0,mean_pool,4,duplicate,0.4245152405225465,0.31116365964528414,3.2430643014480087,1.0,0.1862510696490326,0.8270112457294898,0.984844368479362,4.2279222099339675,5.684074877443379e-08
